timestamp,open_d1,high_d1,low_d1,close_d1,volume_d1,bid_d1,ask_d1,trade_active_d1,quote_active_d1,present_close_d1,open_d2,high_d2,low_d2,close_d2,volume_d2,bid_d2,ask_d2,trade_active_d2,quote_active_d2,present_close_d2,both_trade_active,only_d1_active,only_d2_active,close_d1_scaled
2025-03-03 00:00:00+00:00,7090.0,7090.0,7090.0,7090.0,4.0,,,True,False,True,73.27,73.32,73.27,73.32,10.0,73.31,73.33,True,True,True,True,False,False,73.16282066909305
2025-03-03 00:05:00+00:00,,,,,0.0,,,False,False,False,73.32,73.35,73.32,73.34,9.0,73.33,73.34,True,True,True,False,False,True,
2025-03-03 00:10:00+00:00,,,,,0.0,,,False,False,False,73.33,73.35,73.32,73.34,11.0,73.34,73.35,True,True,True,False,False,True,
2025-03-03 00:15:00+00:00,7089.0,7089.0,7089.0,7089.0,1.0,,,True,False,True,73.31,73.31,73.28,73.28,9.0,73.27,73.28,True,True,True,True,False,False,73.15250151244015
2025-03-03 00:20:00+00:00,,,,,0.0,,,False,False,False,73.28,73.28,73.26,73.28,13.0,73.26,73.28,True,True,True,False,False,True,
2025-03-03 00:25:00+00:00,,,,,0.0,,,False,False,False,73.28,73.32,73.26,73.32,12.0,73.3,73.32,True,True,True,False,False,True,
2025-03-03 00:30:00+00:00,,,,,0.0,,,False,False,False,73.31,73.32,73.31,73.32,2.0,73.31,73.32,True,True,True,False,False,True,
2025-03-03 00:35:00+00:00,,,,,0.0,,,False,False,False,73.32,73.33,73.32,73.32,20.0,73.32,73.33,True,True,True,False,False,True,
2025-03-03 00:40:00+00:00,,,,,0.0,,,False,False,False,73.33,73.37,73.3,73.37,20.0,73.37,73.38,True,True,True,False,False,True,
2025-03-03 00:45:00+00:00,,,,,0.0,,,False,False,False,73.37,73.42,73.37,73.42,12.0,73.42,73.43,True,True,True,False,False,True,
2025-03-03 00:50:00+00:00,,,,,0.0,,,False,False,False,73.41,73.41,73.38,73.4,15.0,73.4,73.41,True,True,True,False,False,True,
2025-03-03 00:55:00+00:00,,,,,0.0,,,False,False,False,73.42,73.42,73.36,73.38,37.0,73.38,73.39,True,True,True,False,False,True,
2025-03-03 01:00:00+00:00,7108.0,7111.0,7108.0,7111.0,11.0,,,True,False,True,73.35,73.53,73.34,73.53,201.0,73.52,73.54,True,True,True,True,False,False,73.37952295880405
2025-03-03 01:05:00+00:00,7113.0,7113.0,7111.0,7111.0,17.0,,,True,False,True,73.51,73.58,73.51,73.52,70.0,73.51,73.52,True,True,True,True,False,False,73.37952295880405
2025-03-03 01:10:00+00:00,,,,,0.0,,,False,False,False,73.52,73.55,73.51,73.53,67.0,73.54,73.55,True,True,True,False,False,True,
2025-03-03 01:15:00+00:00,,,,,0.0,,,False,False,False,73.55,73.56,73.51,73.56,44.0,73.56,73.57,True,True,True,False,False,True,
