,key,open,high,low,close,volume,date_time,interval,iscomplete
0,market:future:F.US.QOK25:2025-03-03T00:00:00Z,7090,7090,7090,7090,4,2025-03-03 00:00:00+00:00,300,True
1,market:future:F.US.QOK25:2025-03-03T00:05:00Z,0,0,0,0,0,2025-03-03 00:05:00+00:00,300,True
2,market:future:F.US.QOK25:2025-03-03T00:10:00Z,0,0,0,0,0,2025-03-03 00:10:00+00:00,300,True
3,market:future:F.US.QOK25:2025-03-03T00:15:00Z,7089,7089,7089,7089,1,2025-03-03 00:15:00+00:00,300,True
4,market:future:F.US.QOK25:2025-03-03T00:20:00Z,0,0,0,0,0,2025-03-03 00:20:00+00:00,300,True
5,market:future:F.US.QOK25:2025-03-03T00:25:00Z,0,0,0,0,0,2025-03-03 00:25:00+00:00,300,True
6,market:future:F.US.QOK25:2025-03-03T00:30:00Z,0,0,0,0,0,2025-03-03 00:30:00+00:00,300,True
7,market:future:F.US.QOK25:2025-03-03T00:35:00Z,0,0,0,0,0,2025-03-03 00:35:00+00:00,300,True
8,market:future:F.US.QOK25:2025-03-03T00:40:00Z,0,0,0,0,0,2025-03-03 00:40:00+00:00,300,True
9,market:future:F.US.QOK25:2025-03-03T00:45:00Z,0,0,0,0,0,2025-03-03 00:45:00+00:00,300,True
10,market:future:F.US.QOK25:2025-03-03T00:50:00Z,0,0,0,0,0,2025-03-03 00:50:00+00:00,300,True
11,market:future:F.US.QOK25:2025-03-03T00:55:00Z,0,0,0,0,0,2025-03-03 00:55:00+00:00,300,True
12,market:future:F.US.QOK25:2025-03-03T01:00:00Z,7108,7111,7108,7111,11,2025-03-03 01:00:00+00:00,300,True
13,market:future:F.US.QOK25:2025-03-03T01:05:00Z,7113,7113,7111,7111,17,2025-03-03 01:05:00+00:00,300,True
14,market:future:F.US.QOK25:2025-03-03T01:10:00Z,0,0,0,0,0,2025-03-03 01:10:00+00:00,300,True
15,market:future:F.US.QOK25:2025-03-03T01:15:00Z,0,0,0,0,0,2025-03-03 01:15:00+00:00,300,True
16,market:future:F.US.QOK25:2025-03-03T01:20:00Z,7117,7117,7117,7117,1,2025-03-03 01:20:00+00:00,300,True
17,market:future:F.US.QOK25:2025-03-03T01:25:00Z,7119,7119,7117,7118,6,2025-03-03 01:25:00+00:00,300,True
18,market:future:F.US.QOK25:2025-03-03T01:30:00Z,7116,7116,7116,7116,1,2025-03-03 01:30:00+00:00,300,True
19,market:future:F.US.QOK25:2025-03-03T01:35:00Z,7116,7116,7115,7115,4,2025-03-03 01:35:00+00:00,300,True
20,market:future:F.US.QOK25:2025-03-03T01:40:00Z,0,0,0,0,0,2025-03-03 01:40:00+00:00,300,True
21,market:future:F.US.QOK25:2025-03-03T01:45:00Z,0,0,0,0,0,2025-03-03 01:45:00+00:00,300,True
22,market:future:F.US.QOK25:2025-03-03T01:50:00Z,0,0,0,0,0,2025-03-03 01:50:00+00:00,300,True
23,market:future:F.US.QOK25:2025-03-03T01:55:00Z,7116,7116,7116,7116,1,2025-03-03 01:55:00+00:00,300,True
24,market:future:F.US.QOK25:2025-03-03T02:00:00Z,7116,7116,7116,7116,6,2025-03-03 02:00:00+00:00,300,True
25,market:future:F.US.QOK25:2025-03-03T02:05:00Z,7116,7122,7116,7122,29,2025-03-03 02:05:00+00:00,300,True
26,market:future:F.US.QOK25:2025-03-03T02:10:00Z,7126,7126,7126,7126,3,2025-03-03 02:10:00+00:00,300,True
27,market:future:F.US.QOK25:2025-03-03T02:15:00Z,7117,7117,7117,7117,1,2025-03-03 02:15:00+00:00,300,True
28,market:future:F.US.QOK25:2025-03-03T02:20:00Z,0,0,0,0,0,2025-03-03 02:20:00+00:00,300,True
29,market:future:F.US.QOK25:2025-03-03T02:25:00Z,0,0,0,0,0,2025-03-03 02:25:00+00:00,300,True
30,market:future:F.US.QOK25:2025-03-03T02:30:00Z,0,0,0,0,0,2025-03-03 02:30:00+00:00,300,True
