,ric,alias_underlying_ric,domain,date_time,gmt_offset,type,open,high,low,close,volume,open_bid,high_bid,low_bid,close_bid,no_bids,open_ask,high_ask,low_ask,close_ask,no_asks
0,LCOc1,LCOK5,Market Price,2025-03-03 00:00:00+00:00,0,Trade,73.27,73.32,73.27,73.32,10,73.27,73.31,73.26,73.31,33,73.29,73.33,73.27,73.33,27
1,LCOc1,LCOK5,Market Price,2025-03-03 00:05:00+00:00,0,Trade,73.32,73.35,73.32,73.34,9,73.32,73.34,73.31,73.33,24,73.33,73.35,73.33,73.34,85
2,LCOc1,LCOK5,Market Price,2025-03-03 00:10:00+00:00,0,Trade,73.33,73.35,73.32,73.34,11,73.33,73.34,73.32,73.34,30,73.34,73.35,73.33,73.35,80
3,LCOc1,LCOK5,Market Price,2025-03-03 00:15:00+00:00,0,Trade,73.31,73.31,73.28,73.28,9,73.32,73.32,73.27,73.27,37,73.34,73.34,73.28,73.28,20
4,LCOc1,LCOK5,Market Price,2025-03-03 00:20:00+00:00,0,Trade,73.28,73.28,73.26,73.28,13,73.27,73.27,73.26,73.26,69,73.28,73.28,73.27,73.28,41
5,LCOc1,LCOK5,Market Price,2025-03-03 00:25:00+00:00,0,Trade,73.28,73.32,73.26,73.32,12,73.27,73.31,73.27,73.3,47,73.28,73.33,73.28,73.32,296
6,LCOc1,LCOK5,Market Price,2025-03-03 00:30:00+00:00,0,Trade,73.31,73.32,73.31,73.32,2,73.31,73.31,73.31,73.31,8,73.33,73.33,73.32,73.32,13
7,LCOc1,LCOK5,Market Price,2025-03-03 00:35:00+00:00,0,Trade,73.32,73.33,73.32,73.32,20,73.3,73.32,73.3,73.32,124,73.32,73.33,73.32,73.33,231
8,LCOc1,LCOK5,Market Price,2025-03-03 00:40:00+00:00,0,Trade,73.33,73.37,73.3,73.37,20,73.32,73.37,73.3,73.37,130,73.33,73.38,73.32,73.38,248
9,LCOc1,LCOK5,Market Price,2025-03-03 00:45:00+00:00,0,Trade,73.37,73.42,73.37,73.42,12,73.37,73.42,73.36,73.42,51,73.38,73.43,73.38,73.43,75
10,LCOc1,LCOK5,Market Price,2025-03-03 00:50:00+00:00,0,Trade,73.41,73.41,73.38,73.4,15,73.41,73.41,73.38,73.4,73,73.42,73.43,73.39,73.41,86
11,LCOc1,LCOK5,Market Price,2025-03-03 00:55:00+00:00,0,Trade,73.42,73.42,73.36,73.38,37,73.4,73.42,73.36,73.38,187,73.42,73.43,73.37,73.39,148
12,LCOc1,LCOK5,Market Price,2025-03-03 01:00:00+00:00,0,Trade,73.35,73.53,73.34,73.53,201,73.34,73.52,73.34,73.52,1392,73.35,73.54,73.35,73.54,1320
13,LCOc1,LCOK5,Market Price,2025-03-03 01:05:00+00:00,0,Trade,73.51,73.58,73.51,73.52,70,73.51,73.57,73.51,73.51,638,73.52,73.58,73.52,73.52,433
14,LCOc1,LCOK5,Market Price,2025-03-03 01:10:00+00:00,0,Trade,73.52,73.55,73.51,73.53,67,73.51,73.54,73.51,73.54,1268,73.52,73.55,73.52,73.55,467
15,LCOc1,LCOK5,Market Price,2025-03-03 01:15:00+00:00,0,Trade,73.55,73.56,73.51,73.56,44,73.54,73.56,73.51,73.56,744,73.55,73.57,73.52,73.57,229
16,LCOc1,LCOK5,Market Price,2025-03-03 01:20:00+00:00,0,Trade,73.57,73.6,73.55,73.59,56,73.57,73.6,73.56,73.58,615,73.58,73.61,73.57,73.59,475
17,LCOc1,LCOK5,Market Price,2025-03-03 01:25:00+00:00,0,Trade,73.59,73.6,73.58,73.58,17,73.58,73.6,73.58,73.58,187,73.59,73.61,73.59,73.59,184
